review_id,k,scale,dl_theta,dl_se,dl_tau2,dl_I2,dl_pi_lo,dl_pi_hi,dl_pi_width,dp_theta,dp_sd,dp_ci_lo,dp_ci_hi,dp_width,dp_n_clusters,dp_bimodal,theta_shift,width_ratio,dp_finds_subgroups
CD000028,21,ratio,-0.2945,0.0629,0,0,-0.4262,-0.1629,0.2633,-0.2911,0.3792,-0.9465,0.4497,1.3962,1,False,0.0034,5.302,False
CD000143,12,ratio,-0.3594,0.2126,0.3053,70.0,-1.6785,0.9598,2.6382,-0.3399,0.6917,-1.729,0.9793,2.7083,3,False,0.0195,1.027,True
CD000219,21,ratio,-0.2367,0.0665,0.0264,35.7,-0.6043,0.1309,0.7352,-0.2257,0.4366,-0.9199,0.6429,1.5628,2,True,0.011,2.126,True
CD000478,13,ratio,-0.3794,0.0823,0,0,-0.5606,-0.1983,0.3623,-0.3446,0.5338,-1.3693,0.6188,1.9881,2,True,0.0349,5.488,True
CD000547,48,ratio,1.0673,0.1718,0.7851,70.7,-0.7496,2.8841,3.6336,0.9324,1.0694,-1.1376,2.7037,3.8413,5,True,0.1349,1.057,True
CD001155,59,ratio,-0.1339,0.0825,0.1319,40.5,-0.8798,0.6119,1.4917,-0.0472,0.7452,-1.5286,1.3727,2.9013,4,False,0.0867,1.945,True
CD001321,27,ratio,-0.3496,0.0906,0.1057,66.2,-1.0447,0.3454,1.39,-0.3529,0.6065,-1.4038,0.6603,2.0641,3,False,0.0033,1.485,True
CD001396,30,ratio,0.8946,0.0937,0.0676,28.4,0.3285,1.4607,1.1322,0.7827,0.5093,-0.2123,1.7546,1.9669,2,False,0.1119,1.737,True
CD001431,61,ratio,-0.023,0.0391,0.0353,64.1,-0.4069,0.3608,0.7678,0.0218,0.4578,-0.7233,1.4026,2.1259,5,True,0.0449,2.769,True
CD001533,21,ratio,-0.0658,0.0742,0.0122,16.1,-0.3443,0.2126,0.5569,-0.1482,0.9681,-2.005,1.7725,3.7775,2,True,0.0824,6.783,True
CD001703,21,ratio,0.824,0.1474,0,0,0.5154,1.1326,0.6172,0.6235,1.0417,-1.3854,2.5777,3.9631,2,False,0.2005,6.421,True
CD001797,5,ratio,0.8166,0.168,0,0,0.2819,1.3514,1.0696,0.6278,0.902,-1.3346,2.1318,3.4664,2,False,0.1889,3.241,True
CD001837,49,ratio,0.2466,0.0417,0.0328,45.7,-0.1275,0.6207,0.7482,0.2091,0.2797,-0.2632,0.8591,1.1223,4,False,0.0375,1.5,True
CD001909,25,ratio,0.5526,0.077,0,0,0.3932,0.712,0.3188,0.5492,0.6773,-0.8141,1.8307,2.6448,2,False,0.0034,8.297,True
CD002042,53,ratio,-0.5324,0.0479,0.1024,96.3,-1.182,0.1172,1.2993,-0.4782,0.4995,-1.9609,0.1708,2.1317,7,True,0.0542,1.641,True
CD002112,21,ratio,0.2866,0.0631,0.0275,42.2,-0.0847,0.658,0.7427,0.2059,0.4511,-0.4941,1.0246,1.5187,2,True,0.0807,2.045,True
CD002115,5,ratio,0.791,0.2529,0.2031,74.8,-0.8535,2.4356,3.2891,0.5685,0.6778,-0.8033,1.7546,2.5579,2,True,0.2226,0.778,True
CD002122,56,ratio,-0.2112,0.1129,0.3445,82.0,-1.4095,0.9871,2.3965,-0.2869,1.0768,-2.5484,2.0341,4.5825,6,False,0.0757,1.912,True
CD002203,50,ratio,-0.1308,0.078,0.104,38.8,-0.7981,0.5364,1.3345,-0.1221,0.6317,-1.2361,1.2563,2.4924,4,True,0.0087,1.868,True
CD002243,180,ratio,-0.099,0.0188,0.0111,25.8,-0.3098,0.1119,0.4217,-0.1465,0.3341,-0.7992,0.4095,1.2087,3,False,0.0475,2.866,True
CD002290,16,ratio,-0.4903,0.1039,0.1187,81.4,-1.2623,0.2817,1.5439,-0.5238,0.5214,-1.5107,0.3023,1.813,4,False,0.0335,1.174,True
CD002303,5,ratio,0.438,0.1032,0.0268,57.2,-0.1782,1.0542,1.2324,0.3244,0.5376,-1.4338,0.9324,2.3663,2,True,0.1136,1.92,True
CD002971,10,ratio,-0.599,0.1976,0.0126,2.9,-1.123,-0.075,1.048,-0.6614,1.0858,-2.5749,1.1692,3.7441,2,False,0.0624,3.573,True
CD003218,5,ratio,0.5303,0.4169,0,0,-0.7963,1.8569,2.6532,0.3077,1.3274,-2.2226,2.6164,4.839,2,True,0.2226,1.824,True
CD003331,35,ratio,-0.0756,0.1349,0,0,-0.3501,0.1989,0.5491,-0.2227,1.2554,-2.57,2.458,5.028,2,False,0.1471,9.157,True
CD003357,7,ratio,0.5704,0.2251,0.2212,66.9,-0.77,1.9109,2.6808,0.4278,0.716,-0.956,1.8127,2.7687,2,False,0.1427,1.033,True
CD003376,15,ratio,-0.277,0.2182,0,0,-0.7483,0.1943,0.9426,-0.2131,1.3093,-3.0678,2.1226,5.1903,3,False,0.064,5.506,True
CD003414,16,ratio,-0.0898,0.0922,0,0,-0.2876,0.108,0.3956,-0.0611,0.502,-0.9134,1.0189,1.9323,2,False,0.0287,4.885,True
